concepts|phrases
Cramp in lower limb|leg cramps
Fatigue|fatigue
Feeling irritable|irritable
Foot pain|pain in feet
Neuropathy|neuropathy
Burning pain|calf of left leg began to burn
Muscle cramp|severe cramping
Tinnitus|tinnitis
Headache|headaches
Initial insomnia|cannot get to sleep on my own
Tear of meniscus of knee|torn maniscus
Arthritis|arthritis
Lipitor|LIPITOR
Myocardial infarction|Myocardial Infarction
Rash|skin rash
Itching|itch
Pain|pain
Insomnia|cant sleep
Shoulder pain|Shoulder pain
Knee pain|knee pain
Pain in elbow|elbow pain
Memory impairment|Memory fog
Anxiety|Anxiety
Reduced libido|Low Libido
atorvastatin|Atorvastatin generic
Mentally dull|brain fog
Arthralgia|joint pain
Aleve|alleve
Inflammatory disorder|inflamation
Pain|pain
Shoulder pain|pain in shoulder
Pain in elbow|pain in elbow
Knee pain|pain in knee
Shoulder pain|left shoulder is terribly painful
Increased cholesterol esters|high cholesterol
Senility|senile
Slow on legs|MOVE SLOW
Heavy feeling in eyelids|EYE HEAVY
Cannot sleep at all|NO SLEEP
Cannot sleep at all|NO SLEEP
Delusional disorder|Paranoia
Anxiety|anxiety
Myalgia|Muscle aches
Fibromyalgia|fibromyalgia
Basic learning problem|learning problems
Mentally dull|brain fog
Depression|depression
Fatigue|fatigue
Pain|pain
Severe pain|extreme pain
Burning sensation|burning
Numbness|numb
Arthralgia|Joint pain
Diabetes mellitus|diabetes
Numbness|Numbness
Muscle cramp|cramps
Watery eye|eyes running
Itching|itchy
Watery eye|watery
Crying|crying
Depression|Depression
Itching|itching
omega-3-acid ethyl esters-90|omega 3 fish oil
Anxiety|anxiety
Delusional disorder|paranoia
Norvasc|Norvasc
Norvasc|Norvasc
Diovan|Diovan
Norvasc|Norvasc
Anxiety|anxiety
Delusional disorder|paranoia
Lipitor|Lipitor
Norvasc|Norvasc
amlodipine|amlodiphine
Lipitor|Lipitor
ubidecarenone|Q10
omega-3-acid ethyl esters-90|Omega III
alpha tocopherol|Vitamin E (200IU)
Lipitor|Lipitor
Moody|METAL MOODS
Anxiety|ANZITY
Gastric ulcer|STOMACH ULCER
Arthralgia|JOINT PAIN
Memory impairment|MEMORY TROUBLE
Lipitor|LIPITOR
Kidney disease|KIDNEY TROUBLES
Gastric ulcer|STOMACH ULCERS
Unable to think clearly|Muddled thinking
Lack of stamina|loss of stamina
Muscle weakness|loss of strength
Abdominal bloating|tummy bloating
Tight chest|Tight chest
Headache|Headache
Mood swings|Mood swings
Excessive upper gastrointestinal gas|gas
Stomach ache|tummy pains
Chill|cold shivers
Lipitor|Lipitor
Myalgia|leg muscle discomfort
Lipitor|Lipitor
Generalised acute body pains|I feel like I've been run over by a truck
Severe pain|extreme muscle discomfort
Pain|achiness
Muscle cramp|cramps
Myalgia|sore
Neck pain|muscle aches in my neck
Shoulder pain|muscle aches in my shoulders
Low back pain|muscle aches in my lower back
Asthenia|extremely fatigued
Mentally dull|I feel like I'm in a fog
Walking disability|it's a chore to just walk around
Pain|pain
Neuropathy|Neuropathy
Pain|pain
Lack of energy|Loss of energy
Dysphonia|Difficulty speaking
Unable to think clearly|Difficulty thinking
Sleep pattern disturbance|Disturbed sleep patterns
Urinary retention|Difficulty urinating
Finding of increased blood pressure|Increase in blood pressure
Lack of libido|lack of sexual desire
Muscle atrophy|Less muscle mass
Lack of energy|Decreased energy
Lethargy|constant lethargy
Asthenia|debilitating
Lipitor|lipitor
Myocardial infarction|heart attack
ascorbic acid|vitamin c
fish oil natural|fish oil capsules
ubidecarenone|CO Q 10
B Complex (Cenovis)|vit. B complex
Lipitor|Lipitor
Pain|pain
Pain|Pain
Pain|Pain
Pain|Pain
Myalgia|pain in muscles
Arthralgia|pain in my joints
Loss of hair|Hair loss
Insomnia|insomnia
Tinnitus|tinnitus
Dysphagia|dysphagia
Multiple sclerosis|MS
Foot pain|Feet hurt
Lipitor|Lipitor
Coma|coma
Lipitor|Lipitor
Zocor|Zocor
Zocor|Zocor
Anxiety|Anxiety
Delusional disorder|paranoia
Lipitor|Lipitor's
Lipitor|Lipitor
Crestor|Crestor
Lipitor|Lipitor
Crestor|Crestor
Lipitor|Lipitor
Diabetes mellitus|diabetics
Adhesive capsulitis of shoulder|frozen shoulder
Backache|back pain
Chest pain|chest pain
Myocardial infarction|cardio event
Lipitor|Lipitor
Backache|back pain
Myopathy|damaging my muscles
Increased lipid|elevated lipids
Myalgia|muscle soreness
Rupture of muscle|tore a calf muscle
Lipitor|Lipitor
Heart disease|coronary disease
Lipitor|Lipitor
Nausea|nausea
Sweating|sweating
Heart disease|coronary disease
Fatigue|fatigue
Increased belching|increased belching
Stomach ache|stomach discomfort
Heavy legs|leg heaviness
Low blood pressure reading|low bp
Low blood pressure reading|low pulse
Influenza|flu
Fever|fever
Lipitor|Lipitor
Toprol-XL|Toprol
Low blood pressure reading|low bp and pulse
Lipitor|Lipitor
Asthenia|Extreme fatigue
Myalgia|muscle aches
Urine looks dark|dark urine
Backache|burning back pain
Cramp in lower leg|severe leg muscle cramps
Muscle cramp|buttocks cramps
Generalised aches and pains|aches and pains
Influenza|flu
Reduced libido|No sex drive
Poor short-term memory|Short term memory problems
Unable to walk up step|Could not walk up stairs with anything in my hands more than about 5-10 lbs
Depression|depression
Increased cholesterol esters|high cholesterol
Foot pain|pain in feet and legs
Lipitor|Lipitor
Pain|pain
Disability|disabled
Foot pain|Feet still hurt
Foot pain|Foot/ankle pain
Myocardial infarction|Heart attacks
Anxiety|Anxiety
Delusional disorder|paranoia
Sciatica|sciatica
Pins and needles|tingling
Numbness|numb
Severe pain|extreme pain
Walking disability|can barely walk
Generalised aches and pains|Body aches
Arthralgia|joint pain
Reduced mobility|decreased mobility
Decreased testosterone level|decreased testosterone
Reduced libido|decreased libido
Difficulty getting off a bed|difficulty getting out of bed in the morning
Paraesthesia of hand|tingling hands
Itching|itchy hands
Muscle weakness|decrease in overall strength
Lipitor|lipitor
Muscle weakness|strength decrease dramatically
Testosterone|testosterone
Lipitor|Lipitor
Tear of meniscus of knee|torn miniscus
Rupture of anterior cruciate ligament|torn ACL
Testosterone|testosterone
Lipitor|Lipitor
Lipitor|Lipitor
fish oil natural|Fish oil
ascorbic acid|vitimin c
Cramp in lower limb|leg cramps
Vertigo|spinning head
Tinnitus|Tinnitus
Tinnitus|ringing in the ears
Lipitor|Lipitor
Lipitor|Lipitor
Fatigue|fatigued
Low motivation|Felt lazy
Low motivation|unmotivated
Fatigue|Fatigue
Loss of motivation|laziness
Mood swings|mood swings
Aggression|rage
Arthralgia|Joint pain
Tired|Extremely tired
Mood swings|changes in mood
Disturbance in physical behaviour|changes in physical activity
Hypertonia|Muscle tightness
Weakness of back|lower back weakness
Stiffness|body stiffed during sleep
Stiffness|general body stiffness
Myalgia|muscle pain
Myalgia|muscle pain
Mood swings|mood changes
Difficulty lifting|hardly lift my arms
Walking disability|hardly walk
Myalgia|muscle pain
Muscle atrophy|muscle wasting
Rib pain|Pain under ribs
Restless legs|restless legs
Myalgia|muscle pain
Lethargy|lethargy
Depression|depression
Insomnia|insomnia
Mentally dull|brain fog
Mood swings|mood swings
Muscle weakness|lack of strength
Blurred vision - hazy|blurred vision
Forgetful|forgetfulness
Asthenia|Debilitating
Burning sensation|burning
Muscle cramp|knotting muscles
Foot pain|feet hurt
Pain|pain
Lipitor|Lipitor
Stiff neck|stiff neck
Orchidodynia|sore left testicle
Muscle atrophy|arm muscles melting
Derealisation|legs feel like they don't belong to me
Fatigue|fatigue
Depression|depression
Arthralgia|joint pains
Bowel dysfunction|dysfunctional bowel
Myalgia|muscle aches
Lack of energy|no energy
ubidecarenone|ubiquinol
Bone pain|bone pain
Myalgia|muscle pain
Lipitor|Lipitor
Increased cholesterol esters|high cholesterol
Depression|Depression
Musculoskeletal pain|musclo-skeletal pain
Insomnia|insomnia
Excessive upper gastrointestinal gas|gas
Rectal haemorrhage|rectal bleeding
Nausea|nausea
Stomach ache|stomach pain
Syncope|syncope
Lipitor|lipitor
atorvastatin|atorvastatin
Shoulder pain|shoulder pain
Loss of motivation|drive is knocked down
Heart disease|heart issues
Myalgia|muscle pain
Lipitor|lipitor
Myalgia|muscle pain
Anxiety|anxious
Unable to initiate words|words would not form
Anxiety|anxiety
Fear|fear
Pins and needles|tingling
Pain|pains
Lipitor|lipitor
atorvastatin|Atorvastatin
Mood swings|emotional changes
Musculoskeletal chest pain|Chest muscle pains
Pins and needles|Pins and needles
Numbness of finger|Numbness in fingers
Difficulty gripping|reduced hand grip power
Numbness|Numbness
Pain|pain
Numbness|Numbness
Headache|headache
Mucosal numbness|Numbness in mouth
Headache|Headache
Eye strain|sight gets tired
Chest pain|chest ache
ubidecarenone|CoQ10
ubidecarenone|CoQ10
ezetimibe|ezetimibe
Headache|headache
Excessive upper gastrointestinal gas|gas
Bloating symptom|bloating
Mood swings|mood swings
Malaise|ill feeling
Delusional disorder|paranoid
Anxiety|anxious
Serum cholesterol raised|cholesterol was very high
Lipitor|Lipitor
Cannot sleep at all|Could not sleep
Unable to eat|Could not eat
Excessive upper gastrointestinal gas|gassy
Abdominal distension, gaseous|belly blew up
Lethargy|lethargy
Pain|pain
Hip pain|pain of the hip joint
Lipitor|Lipitor
Increased cholesterol esters|high cholesterol
Diastolic dysfunction|stage 1 diastolic dysfunction
Right ventricular dilatation|right ventricular was mildly dilated
Raised serum calcium level|elevated calcium
Lipitor|Lipitor
Diastolic dysfunction|diastolic dysfunction
Coronary arteriosclerosis|coronary artery disease
Diabetes mellitus|diabetic
Lipitor|Lipitor
Lipitor|Lipitor
Disorder of cardiac function|altered my heart function
Nerve injury|permanent nerve damage to my feet
Cramp in lower limb|severe leg cramping
Nerve injury|nerve damage
Lipitor|Lipitor
Numbness|numb
Pain|painful
Cataract|cataract
Myalgia|muscle ache
Lipitor|Lipitor
Pain|pain
Bursitis|inflammed bursae
Inflammation of ligament|inflammed ligaments
Neuralgia|Nerve pain
Burning sensation|burning of ankles
Burning sensation|burning of shoulders
Lipitor|Liptor
Pain|pain
Lipitor|Lipitor
Lipitor|Lipitor
Severe pain|extreme pain
Shoulder pain|shoulders hurt
Bursitis|inflammed bursae
Pain|pain
Disability|disability
ubidecarenone|COQ10
ascorbic acid|Vitamin C
Lipitor|Lipitor
Serum cholesterol raised|elevated cholesterol
Lipitor|Lipitor
Digestive symptom|difficulty with digestive system
Myalgia|muscle pain
Arthralgia|joint pain
Lipitor|Lipitor
Neck pain|pain in neck
Shoulder pain|pain in shoulder
Unable to move arm|Unable to raise my left arm
Unable to move|unable to move
Adhesive capsulitis of shoulder|frozen shoulder
Lipitor|Lipitor
Pain|pain
Difficulty sleeping|cannot sleep
Lipitor|Lipitor
Arthralgia|joint pain
Arthralgia|joint pain
Lipitor|lipitor
Musculoskeletal chest pain|chest spasm
Excessive upper gastrointestinal gas|GERD
Pneumonia|pneumonia
Spasm|Spasms
Muscle weakness|muscle weakness
Muscle cramp|Muscle cramping
Fatigue|fatigue
Depression|depression
Depression|depression
Muscle cramp|muscle spasms
ascorbic acid|vitamin C
Lipitor|lipitol
Depression|depression
Lipitor|lipitor
Lipitor|lipitor
Depression|depression
Lipitor|lipitor
Severe pain|severe muscle pains
Muscle cramp|cramps
Arthralgia of the lower leg|sore leg joints
Pain|ache
Lipitor|Lipitor
Strain of calf muscle|Calf muscle strains
Muscle strain|muscle strain
Muscle strain|severe muscle pull/strain
Lipitor|lipitor
Pain in calf|calf pain
Lipitor|Lipitor
Strain of calf muscle|pulled/strained calf
Lipitor|Lipitor
Muscle strain|muscle pull
Myalgia|muscle pain
Pain|pain
Headache|headaches
Severe pain|servere pain
Pain|pain
Headache|headaches
Stomach ache|stomache aches
Tired|extremely tired
Cannot sleep at all|unable to sleep
Anxiety|anxiety
Lipitor|lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Multiple sclerosis|Multiple Sclerosis
Multiple sclerosis|MS
Multiple sclerosis|MS
Lipitor|Lipitor
Lipitor|lipitor
Lipitor|lipitor
Lipitor|lipitor
Absent minded|Absent mindendness,
Poor concentration|trouble concentrating
Blurred vision - hazy|blurred vision
Headache|headaches
Disorder of eye|eye problems
Rash|rash
Insomnia|insomnia
Hot sweats|sweats
Difficulty breathing|difficulty breathing
Weight increased|weight increased
Abdominal bloating|bloating of stomach
Difficulty breathing|difficulty breathing
Rash|Rashes
Tightness in throat|Tightness of throat
Choking|choking
Pravachol|Pravachol
Muscle atrophy|muscles have diminished
Feeling agitated|aggitated
Excitement|easily excited
Lipitor|lipitor
Dizziness|dizziness
Lightheadedness|lightheadedness
Bloating symptom|bloating
Excessive upper gastrointestinal gas|excess gas
Hand joint stiff|mild stiffness of my fingers
Tired all the time|tired all the time
Amnesia|memory loss
Delusional disorder|paranoia
Mental disorder|mental illness
Hallucinations|hallucinations
Stomach ache|stomach pain
Dizziness|dizzy spells
Loss of hair|hairloss
Fatigue|fatigue
Dry eyes|dry eyes
Arthralgia|joint pain
Lipitor|Lipitor
Lipitor|Lipitor
Stomach cramps|stomach cramps
Tired|tired
Stiff limbs|Arm stiffness
Dizziness|Dizziness
Lipitor|Lipitor
Degenerative disease of the central nervous system|neurological problems
Shoulder stiff|Major stiffness in shoulder
Lipitor|Lipitor
Excessive upper gastrointestinal gas|gas
Constipation|constipation
Tiredness symptom|tiredness
Backache|back pain
Lipitor|Lipitor
Fatigue|fatigued
Pain|pain
Pain|sore
Pain|painful
Walking disability|can hardly sleep
Pins and needles|tingly
Constipation|constipation
Pain|painful
Lipitor|Lipitor
Lipitor|Lipitor
Arthralgia|joint pain
Fatigue|fatigue
Lipitor|lipitor
Lipitor|lipitor
Pain|pain
Lipitor|lipitor
Myalgia|muscle ache
Lipitor|Lipitor
Asthenia|EXTREMELY fatigued
Tired|make me so tired
Asthenia|weakness
Fatigue|fatigue
Muscle cramp|muscle spasms
Stiffness|stiffness
Tendonitis|tendonitis
Influenza-like illness|flu-like symptoms
Lipitor|Lipitor
Renal failure|kidney malfunction
Asthenia|weaker
Stiffness|stiff
Lack of energy|low in energy
Influenza-like illness|flu like syptoms
Muscle cramp|muscle spasms
Tendonitis|tendonits
Lipitor|Lipitor
Arthralgia|Joint and muscle pain
Cramp in lower limb|leg and foot cramping
Chest pain|chest pain
Stabbing pain|stabbing sharp pains
Type 2 diabetes mellitus|type 2 diabetes
Heart disease|Heart disease
Abnormal blood pressure|bp problems
Diabetes mellitus|diabetes
Pain|pains
Pain|pains
Pain|pains
Pain|pains
Tinnitus|tinnitus
Heavy legs|heaviness in the legs
Cramp in foot|foot and leg cramps
Rash|rashes
Photosensitisation due to sun|sun sensitivity
Itching|itching
Scab of skin|scabs
Depression|depression
Photosensitisation due to sun|sun sensitivity
Lipitor|Lipitor
Pravachol|Pravachol
Furuncle|my skin in boils
Lopid|Lopids
Influenza-like symptoms|coming down with the flu
Fever|fever
Lipitor|Lipitor
Illness|sick
Cramp in lower limb|leg cramps
Difficulty standing|could barely stand and walk
Numbness|numb
Asthenia|weak
Backache|back pain
Pain in calf|calves hurt
Pain|pain
Pain|painful
Asthenia|weak
Lipitor|lipitor
Lipitor|lipitor
Reduced libido|decreased sex drive
Male climacteric|male menopause
Multiple sclerosis|MS
Walking disability|dragging legs
Lipitor|lipitor
Lipitor|lipitor
Excessive upper gastrointestinal gas|gas
Loose stool|loose stools
Heel pain|heel pain
Loose stool|loose stools
Excessive upper gastrointestinal gas|gas
Loose stool|loose stools
Excessive upper gastrointestinal gas|gas
Increased lactic acid level|Serial Lactic Acid levels consitently well above normal range
Lipitor|Lipitor
Myopathy|severe myopathy
Myalgia|muscle pain
Muscle cramp|cramping
Walking disability|could not walk
Serum creatinine raised|CPK was elevated
Myocardial infarction|heart attack
Liver enzymes abnormal|liver enzymes were very elevated
Low back pain|Lower back pain
Stiff neck|stiff neck
Lipitor|Lipitor
Low back pain|lower back pain
Pain|pain
Neck pain|neck pain
Traumatic injury of skeletal muscle|muscle injury
Lipitor|Lipitor
Traumatic injury of skeletal muscle|muscle injury
Neck pain|Neck pain
Lipitor|LIPITOR
Low back pain|LOWER BACK PAIN
Backache|back pain
Pain|pain
Lipitor|Lipitor
Pain|pain
Lipitor|LIPITOR
Excessive day and night-time sleepiness|Sleeping all day and night
Exhaustion|exhaustion
Feeling tired|feel exhausted
Lipitor|Lipitor
Tired|drained and tired
Pins and needles|tingling
Paraesthesia of hand|hand being asleep
Numbness|numb-like
Arthralgia|Joint pain
Lipitor|lipitor
Lipitor|lipitor
Lipitor|lipitor
Arthralgia|joint pain
Lipitor|lipitor
Rapid shallow breathing|rapid shallow breathing
Fatigue|fatigue
Disorientated|disorientation
Blurred vision - hazy|slightly blurred vision
Erectile dysfunction|erectile disfunction
Myalgia|muscle pain
Allergic condition|allergy
Asthma|asthma
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Cramp in lower limb|severe leg cramping
Pain|pain
Pain|pain
Advil|Advil
Pain|pain
Lipitor|Lipitor
Stomach ache|stomach pain
Stomach ache|stomach pain
Urinary tract infection|urinery tract infection
Urgent desire to urinate|urge to urinate constantly
Lipitor|Lipitor
Lipitor|lipitor
Paralysis|paralysis
Peripheral neuropathy|peripheral neuropathy
Paralysis|paralysis
Paralysis|paralysis
Unable to think clearly|Fuzzy thinking
Blurred vision - hazy|blurred vision
Pain|pain
Hyperactive behaviour|extremely hyper
Liver disease|liver damage
Hyperactive behaviour|hyperactive
Mentally alert|constant alert
Lipitor|Lipitor
Lipitor|Lipitor
Severe pain|Severe pain shoulder
